nodes,rate,it,cost
18,0.1,11,0.00048021347163326614
18,0.1,12,0.0002820218262943414
18,0.1,13,0.00023135987070396638
18,0.1,14,9.166143630815966e-05
18,0.1,15,0.0001230350148470482
18,0.1,16,0.00015618214531265323
18,0.1,17,0.0002427043771723994
18,0.1,18,0.000508338471145849
18,0.1,19,0.0007194266486867128
18,0.1,20,0.0007049129357013465
60,0.1,11,0.0008213527659719056
60,0.1,12,0.0008245007048676301
60,0.1,13,0.0008172047177619786
60,0.1,14,0.0007684141733064407
60,0.1,15,0.0007324241928741197
60,0.1,16,0.0007312883457516715
60,0.1,17,0.0006330916890245195
60,0.1,18,0.0005952543142313243
60,0.1,19,0.000659227336324458
60,0.1,20,0.0006064774030626862
210,0.1,11,3.648559399878961e-05
210,0.1,12,6.133507961694858e-05
210,0.1,13,5.115408743315578e-05
210,0.1,14,7.465968947358782e-05
210,0.1,15,6.554437778976041e-05
210,0.1,16,9.230851197786817e-05
210,0.1,17,7.875785160330764e-05
210,0.1,18,5.7859272745338416e-05
210,0.1,19,4.7901749913117905e-05
210,0.1,20,5.635634816058336e-05
756,0.1,11,9.855033493359828e-05
756,0.1,12,9.528060535562729e-05
756,0.1,13,5.15838083138797e-05
756,0.1,14,9.584062701365387e-05
756,0.1,15,0.00010276839332312823
756,0.1,16,7.715679242340212e-05
756,0.1,17,9.817300149254958e-05
756,0.1,18,4.488335221541153e-05
756,0.1,19,3.1308533145905244e-05
756,0.1,20,2.637855287227966e-05
756,0.2,11,0.00020557050235887298
756,0.2,12,0.0002225159870195827
756,0.2,13,0.0002162118150719202
756,0.2,14,0.0002751332665226129
756,0.2,15,0.00027099926376000923
756,0.2,16,0.00024301149626102387
756,0.2,17,0.00023223453168286638
756,0.2,18,0.00016635996074895957
756,0.2,19,0.00012938967968394578
756,0.2,20,0.0001218294312731425
756,0.3,11,0.0006659476130676097
756,0.3,12,0.0007486549564543905
756,0.3,13,0.000500942709692518
756,0.3,14,0.0007077188620351186
756,0.3,15,0.0007334795215089272
756,0.3,16,0.000733721925539295
756,0.3,17,0.0005725070439328963
756,0.3,18,0.0004461692654390969
756,0.3,19,0.0003248359187455177
756,0.3,20,0.00034644380042532264
756,0.4,11,0.0015503391869671017
756,0.4,12,0.00167309374746153
756,0.4,13,0.0011547176743646273
756,0.4,14,0.001569170264071391
756,0.4,15,0.0017536430563940342
756,0.4,16,0.0015368577769449363
756,0.4,17,0.0014227797208826642
756,0.4,18,0.000903122159294633
756,0.4,19,0.0006835089188202941
756,0.4,20,0.0006264492157002117
756,0.5,11,0.003939399934404189
756,0.5,12,0.003906376243088924
756,0.5,13,0.0024800656114881783
756,0.5,14,0.003404926941467886
756,0.5,15,0.0037304976172303854
756,0.5,16,0.003395134305814981
756,0.5,17,0.00336957605540882
756,0.5,18,0.0022606531006186376
756,0.5,19,0.0012796969025878214
756,0.5,20,0.0012594025891275423
