nodes,rate,bias_mode,cost_wo_pp,cost,loss
18,0.1,bias_x,6.640738206660458e-17,-2.4665599053310275e-17,0.23473199518134
60,0.1,bias_x,2.4056924780277917e-05,2.4056924780277917e-05,0.20918473628675438
210,0.1,bias_x,3.4488315157004625e-05,3.4080284378545335e-05,0.20150528414772348
756,0.1,bias_x,1.4778310306053208e-05,1.3216286729010621e-05,0.19882462180854385
18,0.1,bias_y,6.640738206660458e-17,-2.4665599053310275e-17,0.234744006173527
60,0.1,bias_y,2.6580543360262057e-05,2.5228863595437854e-05,0.2089980115002987
210,0.1,bias_y,2.934379274555613e-05,2.356879372689025e-05,0.20143213996826845
756,0.1,bias_y,2.33136997919304e-05,1.8749727309941053e-05,0.1988247421452598
18,0.1,nobias,6.640738206660458e-17,-2.4665599053310275e-17,0.23474658924140226
60,0.1,nobias,2.9204774988579096e-05,2.9204774988498997e-05,0.2092090884555938
210,0.1,nobias,2.9654167723851197e-05,2.1064705398985836e-05,0.20150512555320313
756,0.1,nobias,1.9405990326590408e-05,1.4846715420789572e-05,0.19882478165866432
756,0.2,nobias,6.819860787055839e-05,5.4829398261017596e-05,0.14266031930078174
756,0.3,nobias,0.00015388736005359313,0.00012167684899621921,0.08477604934274086
756,0.4,nobias,0.00022899973887587514,0.0001841125520249277,0.03252758653809208
756,0.5,nobias,0.000482515498593089,0.00032505871359449077,0.00681088883904877
