hours,total_means,total_std_means,proc
11,0.5070901639344263,0.004435945014294791,0.507174262295082
12,0.5185032786885245,0.005686105216129058,0.5186255737704918
13,0.508260655737705,0.005985920055786775,0.5082960655737705
14,0.5270639344262296,0.005768655631859016,0.5272165573770493
15,0.5299311475409836,0.005695167378579399,0.5300013114754097
16,0.5278114754098362,0.005972068822433906,0.5278200000000001
17,0.5316295081967213,0.0056795388944184105,0.5316619672131149
18,0.5229278688524589,0.0037225115418923344,0.5229865573770491
19,0.521016393442623,0.0021756612206044945,0.5210798360655737
20,0.505860655737705,0.0016356959403728843,0.505921475409836
